,gameid,playerguid,sessionid,playername,session_duration_seconds,kills,deaths,longest_kill_streak,average_kill_distance,shortest_kill_distance,longest_kill_distance,accuracy
1147,185,Misty_Jones,2687592411512374403,,227,0,1,0,0.0,0.0,0.0,0.0
1152,185,Samantha_Martinez,2687592411512374403,,371,0,1,0,0.0,0.0,0.0,50.0
1153,185,Sherry_Wong,2687592411512374403,,377,0,1,0,0.0,0.0,0.0,0.0
1160,185,Pro,2687592411512374403,,562,1,1,1,2117.05078125,2117.05078125,2117.05078125,50.0
1185,185,Yvonne_Haas,2687592411512374403,,917,0,1,0,0.0,0.0,0.0,0.0
1186,185,Stacy_Butler,2687592411512374403,,908,0,1,0,0.0,0.0,0.0,0.0
1187,185,Angel_Hahn,2687592411512374403,,887,6,0,6,1229.29541015625,47.9387092590332,2331.92626953125,75.0
1188,185,Michael_Lewis,2687592411512374403,,917,0,1,0,0.0,0.0,0.0,0.0
1189,185,Hector_Higgins,2687592411512374403,,947,0,1,0,0.0,0.0,0.0,0.0
1191,185,Christopher_Cox,2687592411512374403,,912,2,1,2,986.8986206054691,341.989013671875,1631.80822753906,100.0
