gameid,sessionid,server_ip,server_name,time_started
185,2687592411372870805,176.57.0.0,GameSession,1542271473
185,4959622521749720164,176.57.0.0,GameSession,1542272070
185,4959622521749755856,176.57.0.0,GameSession,1542272381
185,4959622521749767844,139.99.0.0,GameSession,1542272486
185,2009668275080423366,162.244.0.0,GameSession,1542239681
185,2009668275080511993,45.35.0.0,GameSession,1542239982
185,2687592411368888385,162.244.0.0,GameSession,1542247507
185,6300479610403288849,45.35.0.0,GameSession,1542247623
185,4959622521745705167,176.57.0.0,GameSession,1542247630
185,2687592411368946525,162.244.0.0,GameSession,1542247712
185,8330405089910113301,45.35.0.0,GameSession,1542256494
185,2009668275084852520,162.244.0.0,GameSession,1542256744
185,4959622521747852516,162.244.0.0,GameSession,1542257137
185,2687592411371183039,139.99.0.0,GameSession,1542257843
185,8330405089909882567,45.35.0.0,GameSession,1542257928
185,4959622521747980894,162.244.0.0,GameSession,1542257952
185,8330405089909820580,45.35.0.0,GameSession,1542258334
185,4959622521748053636,162.244.0.0,GameSession,1542258430
185,2009668275085185445,139.99.0.0,GameSession,1542258887
185,2687592411371365235,162.244.0.0,GameSession,1542259060
185,2687592411345323313,176.57.0.0,GameSession,1542151849
185,6300479610379701515,162.244.0.0,GameSession,1542151887
185,2009668275059193296,45.35.0.0,GameSession,1542151930
185,2687592411345412398,162.244.0.0,GameSession,1542152138
185,2009668275059282014,176.57.0.0,GameSession,1542152216
185,4959622521724288244,176.57.0.0,GameSession,1542158945
185,2009668275061577481,18.231.0.0,GameSession,1542159693
185,2687592411347741451,162.244.0.0,GameSession,1542159723
185,6300479610382119708,45.35.0.0,GameSession,1542159762
185,8330405089933324407,45.35.0.0,GameSession,1542159766
185,4959622521724535651,45.35.0.0,GameSession,1542159767
185,2009668275061646414,45.35.0.0,GameSession,1542159923
185,4959622521724607128,45.35.0.0,GameSession,1542160006
185,8330405089933238919,162.244.0.0,GameSession,1542160053
185,6300479610382246442,162.244.0.0,GameSession,1542160186
185,4959622521724689016,162.244.0.0,GameSession,1542160282
185,2687592411347909018,45.35.0.0,GameSession,1542160285
185,8330405089933146151,176.57.0.0,GameSession,1542160364
185,2009668275061807697,162.244.0.0,GameSession,1542160466
185,8330405089931006735,45.35.0.0,GameSession,1542169218
185,4959622521726874797,162.244.0.0,GameSession,1542169341
185,4959622521726884076,162.244.0.0,GameSession,1542169394
185,4959622521726894519,176.57.0.0,GameSession,1542169455
185,4959622521726898546,45.35.0.0,GameSession,1542169478
185,2009668275064023585,176.57.0.0,GameSession,1542169830
185,2009668275064032533,45.35.0.0,GameSession,1542169883
185,4959622521726967833,45.35.0.0,GameSession,1542169881
185,2687592411350193515,45.35.0.0,GameSession,1542169920
185,4959622521727023235,162.244.0.0,GameSession,1542170213
185,4959622521727041659,162.244.0.0,GameSession,1542170323
185,8330405089930790286,45.35.0.0,GameSession,1542170489
185,2009668275064136636,162.244.0.0,GameSession,1542170506
185,4959622521727073250,176.57.0.0,GameSession,1542170511
185,8330405089930750844,176.57.0.0,GameSession,1542170723
185,4959622521727120411,45.35.0.0,GameSession,1542170791
185,2687592411350389394,176.57.0.0,GameSession,1542171094
185,6300479610384773097,162.244.0.0,GameSession,1542171197
185,4959622521754293621,176.57.0.0,GameSession,1542297842
185,2687592411377521043,45.35.0.0,GameSession,1542297872
185,4959622521754311641,176.57.0.0,GameSession,1542297905
185,8330405089903537351,176.57.0.0,GameSession,1542297942
185,6300479610411914920,176.57.0.0,GameSession,1542297966
185,6300479610411940195,176.57.0.0,GameSession,1542298053
185,6300479610420598296,162.244.0.0,GameSession,1542323648
185,6300479610420612693,176.57.0.0,GameSession,1542323694
185,2687592411386263554,176.57.0.0,GameSession,1542323749
185,8330405089894944157,176.57.0.0,GameSession,1542323337
185,8330405089892936557,176.57.0.0,GameSession,1542329631
185,2687592411388179719,45.35.0.0,GameSession,1542329746
185,6300479610422668091,176.57.0.0,GameSession,1542330111
185,2687592411388350901,45.35.0.0,GameSession,1542330262
185,2009668275104589988,45.35.0.0,GameSession,1542337969
185,8330405089890209083,45.35.0.0,GameSession,1542338441
185,2009668275104746250,18.228.0.0,GameSession,1542338562
185,2009668275104783875,176.57.0.0,GameSession,1542338709
185,2009668275104788262,162.244.0.0,GameSession,1542338726
185,6300479610425299349,45.35.0.0,GameSession,1542338684
185,2687592411391000035,162.244.0.0,GameSession,1542338949
185,8330405089890072934,45.35.0.0,GameSession,1542338971
185,6300479610425392669,176.57.0.0,GameSession,1542339049
185,2009668275104899630,162.244.0.0,GameSession,1542339163
185,8330405089888006219,45.35.0.0,GameSession,1542349090
185,8330405089887955510,45.35.0.0,GameSession,1542349384
185,2687592411393124228,139.99.0.0,GameSession,1542349392
185,6300479610427500149,45.35.0.0,GameSession,1542349444
185,4959622521769958141,45.35.0.0,GameSession,1542349698
185,6300479610427563727,176.57.0.0,GameSession,1542349812
185,8330405089887874772,176.57.0.0,GameSession,1542349852
185,4959622521769994086,45.35.0.0,GameSession,1542349907
185,8330405089887854518,162.244.0.0,GameSession,1542349970
185,2009668275107079645,176.57.0.0,GameSession,1542350030
185,6300479610427640735,45.35.0.0,GameSession,1542350260
185,6300479610427651250,176.57.0.0,GameSession,1542350322
185,8330405089887748898,139.99.0.0,GameSession,1542350586
185,4959622521770110727,176.57.0.0,GameSession,1542350586
185,4959622521770107178,45.35.0.0,GameSession,1542350565
185,2009668275107210212,176.57.0.0,GameSession,1542350792
185,2009668275107227161,162.244.0.0,GameSession,1542350892
185,2687592411393411374,45.35.0.0,GameSession,1542351064
185,6300479610427771125,45.35.0.0,GameSession,1542351023
185,4959622521770206590,139.99.0.0,GameSession,1542351148
185,2009668275107259012,176.57.0.0,GameSession,1542351079
185,4959622521770241233,176.57.0.0,GameSession,1542351351
185,6300479610427847497,45.35.0.0,GameSession,1542351471
185,4959622521770307754,162.244.0.0,GameSession,1542351740
185,8330405089887530296,176.57.0.0,GameSession,1542351865
185,2009668275107439622,139.99.0.0,GameSession,1542352136
185,2687592411393639444,139.99.0.0,GameSession,1542352400
185,2009668275107487853,45.35.0.0,GameSession,1542352419
185,2687592411393639539,176.57.0.0,GameSession,1542352400
185,2687592411396071872,139.99.0.0,GameSession,1542366949
185,2009668275109934801,176.57.0.0,GameSession,1542367060
185,4959622521772886004,139.99.0.0,GameSession,1542367156
185,2687592411396095371,176.57.0.0,GameSession,1542367096
185,2009668275109951831,176.57.0.0,GameSession,1542367166
185,6300479610430491315,176.57.0.0,GameSession,1542367276
185,8330405089884940389,176.57.0.0,GameSession,1542367361
185,8330405089884943586,162.244.0.0,GameSession,1542367341
185,2009668275110000592,139.99.0.0,GameSession,1542367467
185,2687592411396157392,176.57.0.0,GameSession,1542367479
185,6300479610430538036,176.57.0.0,GameSession,1542367564
185,8330405089884882451,176.57.0.0,GameSession,1542367715
185,2009668275110056865,176.57.0.0,GameSession,1542367810
185,6300479610527317205,176.57.0.0,GameSession,1542629299
185,2687592411492988935,176.57.0.0,GameSession,1542629534
185,8330405089788091862,176.57.0.0,GameSession,1542629520
185,6300479610527374122,139.99.0.0,GameSession,1542629643
185,2009668275206923095,176.57.0.0,GameSession,1542630068
185,4959622521886579849,45.35.0.0,GameSession,1542679800
185,2687592411509916799,162.244.0.0,GameSession,1542680160
185,4959622521886700782,45.35.0.0,GameSession,1542680169
185,8330405089768943103,45.35.0.0,GameSession,1542687965
185,4959622521888962931,162.244.0.0,GameSession,1542688159
185,6300479610546558840,45.35.0.0,GameSession,1542688201
185,2687592411512220716,176.57.0.0,GameSession,1542688323
185,6300479610546613094,162.244.0.0,GameSession,1542688430
185,6300479610546632964,162.244.0.0,GameSession,1542688515
185,4959622521889082508,45.35.0.0,GameSession,1542688668
185,4959622521889094311,45.35.0.0,GameSession,1542688719
185,2687592411512374403,162.244.0.0,GameSession,1542688984
185,6300479610546835925,45.35.0.0,GameSession,1542689397
185,2687592411512477726,162.244.0.0,GameSession,1542689438
185,2687592411514627013,139.99.0.0,GameSession,1542701091
185,2009668275228501860,176.57.0.0,GameSession,1542701282
