,gameid,playerguid,sessionid,playername,session_duration_seconds,kills,deaths,longest_kill_streak,average_kill_distance,shortest_kill_distance,longest_kill_distance,accuracy
0,185,Intermediate,6300479610403288849,,538,0,1,0,0.0,0.0,0.0,0.0
1,185,Intermediate,4959622521747852516,,698,0,1,0,0.0,0.0,0.0,0.0
2,185,Intermediate,4959622521747980894,,492,0,1,0,0.0,0.0,0.0,0.0
3,185,Intermediate,4959622521748053636,,910,2,0,2,893.0413818359375,299.74005126953125,1486.3426513671875,66.66667175292969
4,185,Beginner,4959622521724689016,,443,0,1,0,0.0,0.0,0.0,0.0
5,185,Beginner,4959622521726874797,,489,0,1,0,0.0,0.0,0.0,0.0
6,185,Beginner,2009668275064032533,,1257,2,1,2,201.40676879882812,126.43101501464844,276.3825378417969,50.0
7,185,Pro,4959622521726898546,,1668,1,1,1,127.07386016845703,127.07386016845703,127.07386016845703,33.333335876464844
8,185,Intermediate,8330405089890209083,,671,0,1,0,0.0,0.0,0.0,100.0
9,185,Pro,4959622521770107178,,304,0,0,0,0.0,0.0,0.0,0.0
10,185,Pro,4959622521770307754,,841,2,1,2,230.88128662109375,198.52110290527344,263.2414855957031,57.142860412597656
11,185,Beginner,2687592411509916799,,140,0,1,0,0.0,0.0,0.0,0.0
12,185,Pro,2687592411512374403,,562,1,1,1,2117.05078125,2117.05078125,2117.05078125,50.0
13,185,Pro,2687592411512477726,,298,0,1,0,0.0,0.0,0.0,0.0
