,playerguid,framenumber,frametime_ms,posX,posY,posZ,health,sessionid,stateflags
0,Lori_Ross,5433,0,-122429.65625,-3137.96630859375,2432.728515625,0,2687592411372870805,2
1,Lori_Ross,5653,6890,-124511.3125,-3208.4296875,2434.1201171875,0,2687592411372870805,2
2,Jesus_Roberts,5664,344,-124727.515625,-2825.1875,2253.628173828125,0,2687592411372870805,4
3,Lori_Ross,5664,344,-124641.0546875,-3015.759521484375,2386.918701171875,0,2687592411372870805,0
4,Lori_Ross,5715,1597,-125007.2890625,-2196.545166015625,2423.564697265625,0,2687592411372870805,2
5,Lori_Ross,5764,1535,-124822.890625,-1523.8033447265625,2398.206298828125,0,2687592411372870805,2
6,Richard_Johnson,5775,345,-125062.359375,-1608.98046875,2253.628173828125,0,2687592411372870805,4
7,Lori_Ross,5775,345,-124827.3671875,-1470.9837646484375,2253.628173828125,0,2687592411372870805,0
8,Lori_Ross,5798,718,-125042.2578125,-1401.001708984375,2253.628173828125,0,2687592411372870805,2
9,Richard_Johnson,5811,406,-125062.359375,-1608.98046875,2253.628173828125,0,2687592411372870805,4
10,Lori_Ross,5811,406,-125115.25,-1418.3397216796875,2253.628173828125,0,2687592411372870805,0
11,Jesus_Roberts,5813,62,-125302.7109375,-1557.8057861328125,2253.628173828125,0,2687592411372870805,4
12,Lori_Ross,5903,2818,-125370.53125,-1170.572998046875,2253.628173828125,0,2687592411372870805,2
13,Jesus_Roberts,5905,62,-125766.078125,-2026.875732421875,2253.628173828125,0,2687592411372870805,4
14,Lori_Ross,5905,62,-125370.53125,-1170.572998046875,2253.628173828125,0,2687592411372870805,0
15,Lori_Ross,5963,1816,-125432.453125,-1476.7158203125,2253.628173828125,0,2687592411372870805,2
16,Lori_Ross,6037,2316,-124996.78125,-2270.4765625,2253.628173828125,0,2687592411372870805,2
17,Lori_Ross,6093,1752,-124795.9453125,-2039.182861328125,2253.628173828125,0,2687592411372870805,2
18,Lori_Ross,6158,2035,-124795.9453125,-2039.182861328125,2253.628173828125,0,2687592411372870805,2
19,Jesus_Roberts,6160,62,-125770.703125,-2021.1224365234375,2253.628173828125,0,2687592411372870805,4
20,Lori_Ross,6160,62,-124795.9453125,-2039.182861328125,2253.628173828125,0,2687592411372870805,0
21,Lori_Ross,6232,2255,-124795.9453125,-2039.182861328125,2253.628173828125,0,2687592411372870805,2
22,Michelle_Rogers,6284,1627,-124005.2890625,-2227.62353515625,2253.628173828125,0,2687592411372870805,2
23,Michelle_Rogers,6334,1565,-124188.234375,-2274.262939453125,2253.628173828125,0,2687592411372870805,2
24,Jesus_Roberts,6336,61,-125770.703125,-1940.72998046875,2253.628173828125,0,2687592411372870805,4
25,Michelle_Rogers,6336,61,-124185.0390625,-2261.766357421875,2253.628173828125,0,2687592411372870805,0
26,Lori_Ross,6336,61,-125496.8359375,-1961.55029296875,2253.628173828125,0,2687592411372870805,4
27,Lori_Ross,6378,1315,-125481.15625,-1798.2440185546875,2317.599853515625,0,2687592411372870805,2
28,Lori_Ross,6420,1315,-125445.5625,-1907.2630615234375,2369.078857421875,0,2687592411372870805,2
29,Jesus_Roberts,6431,344,-125770.359375,-1724.359375,2253.628173828125,0,2687592411372870805,4
30,Lori_Ross,6431,344,-125647.125,-1819.077880859375,2443.83056640625,0,2687592411372870805,0
31,Lori_Ross,6502,2223,-125295.296875,-1902.5435791015625,2381.03125,0,2687592411372870805,2
32,Jesus_Roberts,6513,344,-125770.515625,-1740.1962890625,2253.628173828125,0,2687592411372870805,4
33,Lori_Ross,6513,344,-125512.359375,-1879.51171875,2442.0654296875,0,2687592411372870805,0
34,Lori_Ross,6558,1409,-125374.4765625,-1451.060302734375,2437.133056640625,0,2687592411372870805,2
35,Michelle_Rogers,6577,596,-124185.984375,-1953.063232421875,2253.628173828125,0,2687592411372870805,2
36,Lori_Ross,6606,907,-125657.8359375,-1497.3084716796875,2440.319091796875,0,2687592411372870805,2
37,Jesus_Roberts,6620,438,-125760.8046875,-1724.479736328125,2253.628173828125,0,2687592411372870805,4
38,Lori_Ross,6620,438,-125653.609375,-1775.273681640625,2263.17529296875,0,2687592411372870805,0
39,Michelle_Rogers,6623,94,-124326.546875,-2217.087890625,2253.628173828125,0,2687592411372870805,2
40,Jesus_Roberts,6625,60,-125770.4609375,-1726.1199951171875,2349.8232421875,0,2687592411372870805,4
41,Michelle_Rogers,6625,60,-124326.2890625,-2216.32763671875,2253.628173828125,0,2687592411372870805,0
42,Lori_Ross,6625,60,-125660.8046875,-1839.722412109375,2253.628173828125,0,2687592411372870805,4
43,Lori_Ross,6655,939,-125749.4140625,-1812.110595703125,2253.628173828125,0,2687592411372870805,2
44,Michelle_Rogers,6673,564,-124337.2578125,-1935.4788818359375,2253.628173828125,0,2687592411372870805,2
45,Lori_Ross,6722,1533,-125510.96875,-2746.005126953125,2253.628173828125,0,2687592411372870805,2
46,Lori_Ross,6831,3425,-124799.1484375,-2477.95458984375,2253.628173828125,0,2687592411372870805,2
47,Lori_Ross,6853,688,-124948.1328125,-2686.862060546875,2253.628173828125,0,2687592411372870805,2
48,Michelle_Rogers,6900,1474,-124317.4375,-2062.9501953125,2253.628173828125,0,2687592411372870805,2
49,Richard_Johnson,6902,62,-125240.015625,-2047.9449462890625,2253.628173828125,0,2687592411372870805,4
50,Michelle_Rogers,6902,62,-124327.703125,-2069.32666015625,2253.628173828125,0,2687592411372870805,0
51,Lori_Ross,6914,376,-124561.09375,-2714.62890625,2272.465576171875,0,2687592411372870805,2
52,Michelle_Rogers,6952,1187,-124474.2578125,-1939.913330078125,2253.628173828125,0,2687592411372870805,2
53,Jesus_Roberts,6954,62,-125766.5703125,-1724.5277099609375,2253.628173828125,0,2687592411372870805,4
54,Michelle_Rogers,6954,62,-124487.234375,-1940.6116943359375,2253.628173828125,0,2687592411372870805,0
55,Lori_Ross,6983,975,-124666.9296875,-3143.47900390625,2253.628173828125,0,2687592411372870805,2
56,Lori_Ross,7037,1688,-124580.0625,-2658.851806640625,2437.748779296875,0,2687592411372870805,2
57,Lori_Ross,7105,2130,-123767.359375,-2431.44873046875,2253.628173828125,0,2687592411372870805,2
58,Lori_Ross,7149,1376,-123037.796875,-2621.593994140625,2431.224609375,0,2687592411372870805,2
59,Michelle_Rogers,7159,313,-122750.71875,-2701.224853515625,2253.628173828125,0,2687592411372870805,4
60,Lori_Ross,7159,313,-122832.515625,-2706.444580078125,2253.628173828125,0,2687592411372870805,0
61,Lori_Ross,7227,2128,-122090.96875,-3080.991455078125,2253.628173828125,0,2687592411372870805,2
62,Michelle_Rogers,7232,156,-121635.7421875,-2549.3662109375,2441.4033203125,0,2687592411372870805,2
63,Michelle_Rogers,7292,1879,-121796.328125,-2827.061767578125,2253.628173828125,0,2687592411372870805,2
64,Lori_Ross,7315,720,-121543.1640625,-3276.047607421875,2253.628173828125,0,2687592411372870805,2
65,Michelle_Rogers,7342,844,-121361.984375,-2973.96826171875,2422.872314453125,0,2687592411372870805,2
66,Lori_Ross,7356,439,-120909.5390625,-3263.561767578125,2411.718017578125,0,2687592411372870805,4
67,Michelle_Rogers,7356,439,-121137.5625,-3056.765869140625,2253.628173828125,0,2687592411372870805,0
68,Michelle_Rogers,7377,662,-120841.5,-3092.7001953125,2253.628173828125,0,2687592411372870805,2
69,Lori_Ross,7379,61,-120660.796875,-3297.521240234375,2253.628173828125,0,2687592411372870805,2
70,Lori_Ross,7390,345,-120688.4453125,-3102.0126953125,2253.628173828125,0,2687592411372870805,4
71,Michelle_Rogers,7390,345,-120764.75,-3240.61767578125,2253.628173828125,0,2687592411372870805,0
72,Michelle_Rogers,7443,1659,-120906.171875,-2743.73974609375,2253.628173828125,0,2687592411372870805,2
73,Lori_Ross,7445,61,-120563.9765625,-1407.5177001953125,2253.628173828125,0,2687592411372870805,4
74,Michelle_Rogers,7445,61,-120914.96875,-2728.150390625,2253.628173828125,0,2687592411372870805,0
75,Michelle_Rogers,7489,1378,-120806.375,-2403.284912109375,2253.628173828125,0,2687592411372870805,2
76,Michelle_Rogers,7535,1440,-120944.9140625,-2266.14990234375,2253.628173828125,0,2687592411372870805,2
77,Lori_Ross,7537,62,-121094.75,-1268.20703125,2253.628173828125,0,2687592411372870805,4
78,Michelle_Rogers,7537,62,-120945.9453125,-2266.29248046875,2253.628173828125,0,2687592411372870805,0
79,Michelle_Rogers,7582,1409,-120950.125,-2155.71728515625,2253.628173828125,0,2687592411372870805,2
80,Lori_Ross,7696,3569,-122464.6015625,-838.3621215820312,2253.628173828125,0,2687592411372870805,2
81,Michelle_Rogers,7702,187,-121979.9921875,-661.8963012695312,2253.628173828125,0,2687592411372870805,2
82,Lori_Ross,7745,1345,-122182.71875,-146.44764709472656,2329.57958984375,0,2687592411372870805,2
83,Michelle_Rogers,7749,125,-122135.5,-411.55194091796875,2311.640380859375,0,2687592411372870805,2
84,Michelle_Rogers,7760,344,-122154.078125,-233.1513214111328,2428.8818359375,0,2687592411372870805,4
85,Lori_Ross,7760,344,-122180.1328125,-263.6929016113281,2253.628173828125,0,2687592411372870805,0
86,Michelle_Rogers,7828,2129,-121759.265625,291.7846984863281,2253.628173828125,0,2687592411372870805,2
87,Lori_Ross,7828,2129,-122140.1328125,-458.31365966796875,2325.68310546875,0,2687592411372870805,4
88,Michelle_Rogers,7828,2129,-121759.265625,291.7846984863281,2253.628173828125,0,2687592411372870805,2
89,Michelle_Rogers,7863,1095,-121956.5546875,-68.23055267333984,2282.587646484375,0,2687592411372870805,2
90,Lori_Ross,7883,626,-122377.78125,-675.3182983398438,2253.628173828125,0,2687592411372870805,2
91,Michelle_Rogers,7883,626,-122220.0859375,-357.7057800292969,2429.2275390625,0,2687592411372870805,4
92,Lori_Ross,7883,626,-122377.78125,-675.3182983398438,2253.628173828125,0,2687592411372870805,2
93,Lori_Ross,7936,1660,-122533.828125,-578.58837890625,2419.07763671875,0,2687592411372870805,2
94,Michelle_Rogers,7944,248,-122333.9453125,-257.8820495605469,2253.628173828125,0,2687592411372870805,2
95,Lori_Ross,7957,407,-122189.8984375,-407.15966796875,2253.628173828125,0,2687592411372870805,4
96,Michelle_Rogers,7957,407,-122462.734375,-385.0933837890625,2253.628173828125,0,2687592411372870805,0
97,Michelle_Rogers,8014,1785,-121955.1328125,-298.3531188964844,2253.628173828125,0,2687592411372870805,2
98,Lori_Ross,8016,61,-120891.2734375,-209.50857543945312,2300.888671875,0,2687592411372870805,4
99,Michelle_Rogers,8016,61,-121955.234375,-283.6434631347656,2253.628173828125,0,2687592411372870805,0
100,Lori_Ross,8069,1660,-121245.6875,-369.2021484375,2381.033203125,0,2687592411372870805,2
101,Michelle_Rogers,8085,501,-121906.28125,-413.2230529785156,2253.628173828125,0,2687592411372870805,2
102,Michelle_Rogers,8091,187,-121959.1953125,-417.0495300292969,2253.628173828125,0,2687592411372870805,2
103,Lori_Ross,8103,375,-121865.7109375,-403.4034423828125,2253.628173828125,0,2687592411372870805,2
104,Lori_Ross,8105,62,-121881.5234375,-400.00921630859375,2253.628173828125,0,2687592411372870805,4
105,Michelle_Rogers,8105,62,-122116.84375,-441.5287780761719,2253.628173828125,0,2687592411372870805,0
106,Lori_Ross,8108,93,-121792.1796875,-382.1416015625,2301.986572265625,0,2687592411372870805,2
107,Michelle_Rogers,8157,1537,-122067.828125,-358.6761779785156,2253.628173828125,0,2687592411372870805,2
108,Lori_Ross,8159,61,-121024.7734375,-195.41334533691406,2402.99267578125,0,2687592411372870805,4
109,Michelle_Rogers,8159,61,-122079.6953125,-349.2078552246094,2253.628173828125,0,2687592411372870805,0
110,Lori_Ross,8161,62,-120985.28125,-191.056884765625,2422.046630859375,0,2687592411372870805,2
111,Michelle_Rogers,8230,2157,-121623.4453125,-232.06466674804688,2366.947021484375,0,2687592411372870805,2
112,Lori_Ross,8232,61,-121456.296875,-457.19952392578125,2381.061279296875,0,2687592411372870805,2
113,Lori_Ross,8266,1065,-121832.484375,-517.4446411132812,2253.628173828125,0,2687592411372870805,2
114,Michelle_Rogers,8268,62,-121762.4921875,-621.9152221679688,2253.628173828125,0,2687592411372870805,2
115,Michelle_Rogers,8279,345,-121862.1640625,-513.6236572265625,2253.628173828125,0,2687592411372870805,4
116,Lori_Ross,8279,345,-121688.078125,-587.385009765625,2253.628173828125,0,2687592411372870805,0
117,Lori_Ross,8346,2097,-121448.9609375,-366.007080078125,2253.628173828125,0,2687592411372870805,2
118,Michelle_Rogers,8348,61,-122301.5234375,-95.62879180908203,2259.67138671875,0,2687592411372870805,4
119,Lori_Ross,8348,61,-121448.9609375,-366.007080078125,2253.628173828125,0,2687592411372870805,0
120,Michelle_Rogers,8427,2473,-122090.8203125,-453.3468017578125,2423.465087890625,0,2687592411372870805,2
121,Lori_Ross,8456,908,-121926.2421875,41.846309661865234,2262.814453125,0,2687592411372870805,2
122,Michelle_Rogers,8467,344,-121873.046875,-242.54440307617188,2253.628173828125,0,2687592411372870805,4
123,Lori_Ross,8467,344,-121921.53125,-115.36653137207031,2253.628173828125,0,2687592411372870805,0
124,Michelle_Rogers,8495,876,-121623.5546875,-959.9288940429688,2562.964111328125,0,2687592411372870805,2
125,Lori_Ross,8510,469,-121513.734375,-649.435546875,2427.863037109375,0,2687592411372870805,2
